0000000045,134134 Sukhumvit Road,Bangkok,Watthana,10110,0628765432
0000000046,137137 Prachachuen Road,Bangkok,Bang Sue,10800,
0000000047,140140 Lat Phrao Road,Bangkok,Wang Thonglang,10310,0624567890
0000000048,143143 Charoen Krung Road,Bangkok,Bang Kho Laem,10120,0627890123
0000000049,146146 Rama IV Road,Bangkok,Klong Toey,10110,0628901234
0000000050,149149 Phra Athit Road,Bangkok,Phra Nakhon,10200,0621567890
0000000051,123 Nonthaburi Road,Nonthaburi,Mueang Nonthaburi,11000,
0000000052,456 Tiwanon Road,Nonthaburi,Pak Kret,11120,
0000000053,789 Chaengwattana Road,Nonthaburi,Pak Kret,11120,
0000000054,1010 Phibun Songkram Road,Nonthaburi,Mueang Nonthaburi,11000,0621234567
0000000055,1313 Rattanathibet Road,Nonthaburi,Bang Kraso,11000,0624567890
0000000056,1616 Pracharat 1 Road,Nonthaburi,Bang Yai,11140,
0000000057,1919 Rama V Road,Nonthaburi,Mueang Nonthaburi,11000,0628901234
0000000058,2222 Theparak Road,Nonthaburi,Mueang Nonthaburi,11000,0625678901
0000000059,2525 Tiwanon Road,Nonthaburi,Pak Kret,11120,0629012345
0000000060,2828 Sanambin Nam Road,Nonthaburi,Mueang Nonthaburi,11000,0622345678
0000000061,123 Sukhumvit Road,Samut Prakan,Mueang Samut Prakan,10270,0629876543
0000000062,456 Bangna-Trad Road,Samut Prakan,Bang Phli,10540,
0000000063,789 Srinakarin Road,Samut Prakan,Mueang Samut Prakan,10270,0625678901
0000000064,1010 Rama II Road,Samut Prakan,Mueang Samut Prakan,10270,0628765432
0000000065,1313 Sukhumvit 77 Road,Samut Prakan,Bang Phli,10540,0620987654
0000000066,1616 Paknam Road,Samut Prakan,Mueang Samut Prakan,10270,0627890123
0000000067,1919 Theparak Road,Samut Prakan,Mueang Samut Prakan,10270,0621567890
0000000068,2222 Bangna Road,Samut Prakan,Bang Phli,10540,0621234567
0000000069,2525 Srinagarindra Road,Samut Prakan,Mueang Samut Prakan,10270,0626543210
0000000070,2828 Rama III Road,Samut Prakan,Mueang Samut Prakan,10270,0629012345
0000000071,123 Tiwanon Road,Pathum Thani,Mueang Pathum Thani,12000,0623456789
0000000072,456 Rangsit-Nakhon Nayok Road,Pathum Thani,Klong Luang,12120,0625678901
0000000073,789 Phahonyothin Road,Pathum Thani,Lat Lum Kaeo,12140,
0000000074,1010 Rangsit-Pathum Thani Road,Pathum Thani,Lat Lum Kaeo,12140,0622345678
0000000075,1313 Tiwanon Road,Pathum Thani,Mueang Pathum Thani,12000,0627890123
0000000076,1616 Rangsit-Nakhon Nayok Road,Pathum Thani,Klong Luang,12120,0628901234
0000000077,1919 Phahonyothin Road,Pathum Thani,Lat Lum Kaeo,12140,0620987654
0000000078,2222 Rangsit-Pathum Thani Road,Pathum Thani,Lat Lum Kaeo,12140,0629876543
0000000079,2525 Tiwanon Road,Pathum Thani,Mueang Pathum Thani,12000,
0000000080,2828 Rangsit-Nakhon Nayok Road,Pathum Thani,Klong Luang,12120,
0000000081,123 Mahachai Road,Samut Sakhon,Mueang Samut Sakhon,74000,0626543210
0000000082,456 Tha Chin Road,Samut Sakhon,Ban Phaeo,74120,0621234567
0000000083,789 Rama II Road,Samut Sakhon,Krathum Baen,74110,0627890123
0000000084,1010 Nadee Road,Samut Sakhon,Mueang Samut Sakhon,74000,0623456789
0000000085,1313 Soi Nok Wua,Samut Sakhon,Ban Phaeo,74120,0628901234
0000000086,1616 Chaichan Road,Samut Sakhon,Krathum Baen,74110,
0000000087,1919 Pracha Uthit Road,Samut Sakhon,Mueang Samut Sakhon,74000,0622345678
0000000088,2222 Tha Na Road,Samut Sakhon,Ban Phaeo,74120,0624567890
0000000089,2525 Ratchadamri Road,Samut Sakhon,Krathum Baen,74110,0629876543
0000000090,2828 Rama IV Road,Samut Sakhon,Mueang Samut Sakhon,74000,
0000000091,123 Patong Beach Road,Phuket,Kathu,83150,0628765432
0000000092,456 Kata Noi Road,Phuket,Kathu,83100,0627890123
0000000093,789 Karon Beach Road,Phuket,Mueang Phuket,83100,0623456789
0000000094,1010 Chalong Bay Road,Phuket,Mueang Phuket,83130,
0000000095,1313 Kamala Beach Road,Phuket,Kathu,83150,0620987654
0000000096,1616 Mai Khao Beach Road,Phuket,Thalang,83110,0622345678
0000000097,1919 Rawai Beach Road,Phuket,Mueang Phuket,83100,0628901234
0000000098,2222 Surin Beach Road,Phuket,Thalang,83110,0621567890
0000000099,2525 Nai Harn Beach Road,Phuket,Mueang Phuket,83100,0625678901
0000000100,2828 Patong Beach Road,Phuket,Kathu,83150,0629012345
